75/99	2.09G	0.01733	0.004508	0.007491	0.02933	14	416	0.9516	0.9919	0.982	0.8878	0.05813	0.01257	0.03113
76/99	2.09G	0.01646	0.004544	0.007155	0.02816	14	416	0.9506	0.9937	0.9821	0.888	0.05811	0.01263	0.03111
77/99	2.09G	0.01686	0.004477	0.007025	0.02836	22	416	0.9523	0.9912	0.9821	0.888	0.0581	0.01268	0.03108
78/99	2.09G	0.01545	0.004416	0.00644	0.02631	19	416	0.9507	0.9939	0.9822	0.8884	0.0581	0.01275	0.03106
79/99	2.09G	0.01674	0.004376	0.006756	0.02787	10	416	0.9511	0.9938	0.9822	0.8886	0.05809	0.01281	0.03104
80/99	2.09G	0.01674	0.004368	0.006667	0.02777	9	416	0.9512	0.9937	0.9823	0.8886	0.05809	0.01286	0.03102
81/99	2.09G	0.01615	0.004332	0.006709	0.02719	18	416	0.951	0.994	0.9824	0.8886	0.05809	0.01288	0.03099
82/99	2.09G	0.01556	0.004298	0.006446	0.02631	5	416	0.9543	0.9887	0.9825	0.8886	0.0581	0.01293	0.03097
83/99	2.09G	0.01629	0.004254	0.006542	0.02709	28	416	0.9512	0.994	0.9826	0.8886	0.0581	0.01297	0.03095
84/99	2.09G	0.01592	0.00428	0.006595	0.0268	16	416	0.9529	0.9912	0.9827	0.889	0.0581	0.01302	0.03093
85/99	2.09G	0.01565	0.004247	0.006348	0.02625	18	416	0.9538	0.9901	0.9827	0.889	0.0581	0.01307	0.03092
86/99	2.09G	0.01615	0.004153	0.00642	0.02672	10	416	0.9536	0.9905	0.9827	0.8891	0.05809	0.01312	0.03091
87/99	2.09G	0.01564	0.004169	0.006212	0.02602	6	416	0.9534	0.9909	0.9828	0.8892	0.05809	0.01316	0.0309
88/99	2.09G	0.01478	0.004178	0.006127	0.02508	20	416	0.9546	0.9892	0.9829	0.8894	0.05809	0.01322	0.03089
89/99	2.09G	0.01479	0.004148	0.006062	0.025	30	416	0.9537	0.9907	0.9829	0.8894	0.05808	0.01327	0.03087
90/99	2.09G	0.01575	0.004155	0.00652	0.02643	35	416	0.9538	0.9909	0.983	0.8896	0.05808	0.01332	0.03085
91/99	2.09G	0.01506	0.004088	0.005986	0.02514	5	416	0.9545	0.9902	0.983	0.8897	0.05808	0.01337	0.03084
92/99	2.09G	0.0145	0.004135	0.005852	0.02449	7	416	0.954	0.9911	0.9831	0.8899	0.05808	0.01343	0.03082
93/99	2.09G	0.01494	0.004032	0.005928	0.0249	7	416	0.9545	0.9906	0.9831	0.8899	0.05808	0.01348	0.03081
94/99	2.09G	0.01501	0.004012	0.005913	0.02494	8	416	0.9549	0.9904	0.9832	0.8902	0.05808	0.01352	0.03079
95/99	2.09G	0.01543	0.00405	0.006237	0.02572	10	416	0.954	0.9917	0.9832	0.8904	0.05808	0.01358	0.03078
96/99	2.09G	0.01439	0.003994	0.005827	0.02421	15	416	0.9551	0.99	0.9833	0.8905	0.05808	0.01363	0.03077
97/99	2.09G	0.01465	0.003993	0.005752	0.0244	14	416	0.9553	0.9899	0.9833	0.8904	0.05808	0.01367	0.03075
98/99	2.09G	0.01471	0.004004	0.005692	0.0244	21	416	0.9555	0.9897	0.9834	0.8905	0.05808	0.01373	0.03074
99/99	2.09G	0.01468	0.003998	0.005856	0.02454	21	416	0.9557	0.9896	0.9834	0.8908	0.05808	0.01378	0.03072
